time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-02 00:00:00+00:00,0,0,35,1
2023-01-06 00:00:00+00:00,2,1,0,0
2023-01-07 00:00:00+00:00,1,1,0,0
2023-01-08 00:00:00+00:00,1,1,0,0
2023-01-09 00:00:00+00:00,1,1,0,0
2023-01-10 00:00:00+00:00,1,1,4,2
2023-01-11 00:00:00+00:00,1,1,0,0
2023-01-12 00:00:00+00:00,1,1,0,0
2023-01-13 00:00:00+00:00,1,1,0,0
2023-01-14 00:00:00+00:00,1,1,0,0
2023-01-15 00:00:00+00:00,1,1,0,0
2023-01-16 00:00:00+00:00,1,1,0,0
2023-01-17 00:00:00+00:00,1,1,13,1
2023-01-18 00:00:00+00:00,1,1,0,0
2023-01-19 00:00:00+00:00,1,1,0,0
2023-01-20 00:00:00+00:00,1,1,0,0
2023-01-21 00:00:00+00:00,1,1,0,0
2023-01-22 00:00:00+00:00,1,1,0,0
2023-01-23 00:00:00+00:00,1,1,1,1
2023-01-24 00:00:00+00:00,1,1,0,0
2023-01-25 00:00:00+00:00,1,1,0,0
2023-01-26 00:00:00+00:00,1,1,0,0
2023-01-27 00:00:00+00:00,1,1,10,1
2023-01-28 00:00:00+00:00,1,1,0,0
2023-01-29 00:00:00+00:00,1,1,0,0
2023-01-30 00:00:00+00:00,1,1,4,1
2023-01-31 00:00:00+00:00,1,1,0,0
2023-02-01 00:00:00+00:00,1,1,0,0
2023-02-02 00:00:00+00:00,1,1,0,0
2023-02-03 00:00:00+00:00,1,1,0,0
2023-02-04 00:00:00+00:00,1,1,0,0
2023-02-05 00:00:00+00:00,1,1,0,0
2023-02-06 00:00:00+00:00,1,1,0,0
2023-02-07 00:00:00+00:00,1,1,0,0
2023-02-08 00:00:00+00:00,1,1,0,0
2023-02-09 00:00:00+00:00,1,1,0,0
2023-02-10 00:00:00+00:00,1,1,0,0
2023-02-11 00:00:00+00:00,1,1,0,0
2023-02-12 00:00:00+00:00,1,1,0,0
2023-02-13 00:00:00+00:00,1,1,0,0
2023-02-14 00:00:00+00:00,1,1,8,2
2023-02-15 00:00:00+00:00,1,1,6,2
2023-02-16 00:00:00+00:00,42,10,28,8
2023-02-17 00:00:00+00:00,5,5,93,13
2023-02-18 00:00:00+00:00,5,3,16,2
2023-02-19 00:00:00+00:00,3,3,20,2
2023-02-20 00:00:00+00:00,2,2,40,7
2023-02-21 00:00:00+00:00,3,3,24,6
2023-02-22 00:00:00+00:00,8,5,28,9
2023-02-23 00:00:00+00:00,3,2,21,8
2023-02-24 00:00:00+00:00,5,5,56,4
2023-02-25 00:00:00+00:00,2,2,1,1
2023-02-26 00:00:00+00:00,2,2,37,2
2023-02-27 00:00:00+00:00,49,5,32,4
2023-02-28 00:00:00+00:00,24,7,47,3
2023-03-01 00:00:00+00:00,3,3,3,1
2023-03-02 00:00:00+00:00,105,28,42,5
2023-03-03 00:00:00+00:00,2,2,7,3
2023-03-04 00:00:00+00:00,2,2,4,3
2023-03-05 00:00:00+00:00,3,3,21,2
2023-03-06 00:00:00+00:00,60,10,10,4
2023-03-07 00:00:00+00:00,21,9,51,5
2023-03-08 00:00:00+00:00,2,2,1,1
2023-03-09 00:00:00+00:00,3,3,1,1
2023-03-10 00:00:00+00:00,4,3,1,1
2023-03-11 00:00:00+00:00,4,4,2,1
2023-03-12 00:00:00+00:00,3,3,0,0
2023-03-13 00:00:00+00:00,3,3,4,4
2023-03-14 00:00:00+00:00,4,4,7,3
2023-03-15 00:00:00+00:00,2,2,13,4
2023-03-16 00:00:00+00:00,3,3,0,0
2023-03-17 00:00:00+00:00,3,2,91,4
2023-03-18 00:00:00+00:00,3,3,1,1
2023-03-19 00:00:00+00:00,1,1,7,2
